S.no,Question,A,B,C,D,Answer
1,How will you free the allocated memory?,remove(var-name);,free(var-name);,delete(var-name);,dalloc(var-name);,2
2,"  

Which of the following is the correct order of evaluation for the below expression?
z = x + y * z / 4 % 2 - 1",* / % + - =,= * / % + -,/ * % - + =,  * % / - + =,1
3,"  

Which of the following are unary operators in C?
1.  !
2.  sizeof
3.  ~
4.  &&","1, 2","1, 3","2, 4","1, 2, 3",4
4,"  

What does the following declaration mean?
int (*ptr)[10];",  ptr is array of pointers to 10 integers,  ptr is a pointer to an array of 10 integers,  ptr is an array of 10 integers,  ptr is an pointer to array,2
5,"  

In C, if you pass an array as an argument to a function, what actually gets passed?",Value of elements in array,  First element of the array,  Base address of the array,Address of the last element of array,3
6,Which of the following function sets first n characters of a string to a given character?,strinit(),strnset(),strset(),  strcset(),2
7,"  

If the two strings are identical, then strcmp() function returns",-1,1,0,yes,3
8,"  

How will you print \n on the screen?","printf(""\n"");","echo ""\\n"";",printf('\n');,"printf(""\\n"");",4
9,"  

The library function used to find the last occurrence of a character in a string is",strnstr(),laststr(),strrchr() ,strstr(),3
10,"  

Which of the following cannot be checked in a switch-case statement?",Character,  Integer,Float,  enum,
